2025-04-30 01:36:56,801 | INFO | Resultado da análise retornado.
2025-04-30 06:02:49,503 | INFO | Tabela 'ANALISE' verificada/criada.
2025-05-07 22:15:41,635 | INFO | Tabela 'ANALISE' verificada/criada.
2025-05-07 22:33:57,605 | INFO | Recebido arquivo: trecho_selecionado.wav
2025-05-07 22:33:57,779 | INFO | Dados do usuário salvos. ID: 3
2025-05-07 22:33:57,782 | INFO | Analisando áudio: uploads\trecho_selecionado.wav
2025-05-07 22:34:05,150 | INFO | Análise concluída com sucesso.
2025-05-07 22:34:06,051 | INFO | Resultado da análise retornado.
2025-05-07 22:37:13,754 | INFO | Recebido arquivo: trecho.wav
2025-05-07 22:37:13,984 | INFO | Dados do usuário salvos. ID: 4
2025-05-07 22:37:13,985 | INFO | Analisando áudio: uploads\trecho.wav
2025-05-07 22:37:14,780 | INFO | Análise concluída com sucesso.
2025-05-07 22:37:15,040 | INFO | Resultado da análise retornado.
2025-05-08 05:23:50,307 | INFO | Recebido arquivo: trecho_selecionado.wav
2025-05-08 05:23:50,472 | INFO | Dados do usuário salvos. ID: 5
2025-05-08 05:23:50,475 | INFO | Analisando áudio: uploads\trecho_selecionado.wav
2025-05-08 05:23:52,471 | INFO | Análise concluída com sucesso.
2025-05-08 05:23:52,800 | INFO | Resultado da análise retornado.
2025-05-08 05:24:55,132 | INFO | Recebido arquivo: trecho.wav
2025-05-08 05:24:55,799 | INFO | Dados do usuário salvos. ID: 6
2025-05-08 05:24:55,801 | INFO | Analisando áudio: uploads\trecho.wav
2025-05-08 05:24:57,249 | INFO | Análise concluída com sucesso.
2025-05-08 05:24:57,573 | INFO | Resultado da análise retornado.
2025-05-19 00:38:23,006 | INFO | Tabela 'ANALISE' verificada/criada.
